b'id',b'key',b'value',b'type'
b'91326120',b'highway',b'turning_circle',b'regular'
b'91326120',b'reviewed',b'yes',b'tiger'
b'91326158',b'highway',b'stop',b'regular'
b'91326860',b'highway',b'turning_circle',b'regular'
b'91327995',b'highway',b'turning_circle',b'regular'
b'91328230',b'highway',b'turning_circle',b'regular'
b'91328588',b'highway',b'traffic_signals',b'regular'
b'91333104',b'highway',b'traffic_signals',b'regular'
b'91337070',b'highway',b'stop',b'regular'
b'91344284',b'highway',b'turning_circle',b'regular'
b'91345671',b'highway',b'turning_circle',b'regular'
b'91345703',b'highway',b'turning_circle',b'regular'
b'91345740',b'highway',b'turning_circle',b'regular'
b'91348744',b'highway',b'stop',b'regular'
b'91348757',b'highway',b'stop',b'regular'
b'91348758',b'highway',b'traffic_signals',b'regular'
b'91348807',b'highway',b'traffic_signals',b'regular'
b'91348875',b'highway',b'traffic_signals',b'regular'
b'91348880',b'highway',b'traffic_signals',b'regular'
b'91348884',b'highway',b'traffic_signals',b'regular'
b'91350748',b'highway',b'turning_circle',b'regular'
b'91355182',b'highway',b'stop',b'regular'
b'91355721',b'highway',b'turning_circle',b'regular'
b'91358198',b'highway',b'turning_circle',b'regular'
b'91358242',b'highway',b'turning_circle',b'regular'
b'91363710',b'highway',b'turning_circle',b'regular'
b'91366530',b'highway',b'turning_circle',b'regular'
b'91367423',b'highway',b'turning_circle',b'regular'
b'91367678',b'highway',b'turning_circle',b'regular'
b'91371024',b'highway',b'stop',b'regular'
b'91373206',b'highway',b'traffic_signals',b'regular'
b'91373215',b'highway',b'turning_circle',b'regular'
b'91373302',b'highway',b'turning_circle',b'regular'
b'91373608',b'highway',b'stop',b'regular'
b'91373608',b'reviewed',b'yes',b'tiger'
b'91373828',b'highway',b'turning_circle',b'regular'
b'91375120',b'highway',b'turning_circle',b'regular'
b'91379256',b'highway',b'turning_circle',b'regular'
b'91380239',b'highway',b'turning_circle',b'regular'
b'91382567',b'highway',b'turning_circle',b'regular'
b'91390973',b'highway',b'turning_circle',b'regular'
b'91392151',b'highway',b'turning_circle',b'regular'
b'91392619',b'highway',b'turning_circle',b'regular'
b'91393314',b'highway',b'turning_circle',b'regular'
b'91393462',b'highway',b'turning_circle',b'regular'
b'91393497',b'highway',b'turning_circle',b'regular'
b'91399832',b'highway',b'traffic_signals',b'regular'
b'91399832',b'traffic_signals',b'signal',b'regular'
b'91400120',b'highway',b'traffic_signals',b'regular'
b'91400120',b'traffic_signals',b'signal',b'regular'
b'91403195',b'ref',b'202B',b'regular'
b'91403195',b'highway',b'motorway_junction',b'regular'
b'91403227',b'ref',b'202A',b'regular'
b'91403227',b'highway',b'motorway_junction',b'regular'
b'91407758',b'highway',b'turning_circle',b'regular'
b'91410535',b'highway',b'turning_circle',b'regular'
b'91412567',b'highway',b'turning_circle',b'regular'
b'91413616',b'highway',b'traffic_signals',b'regular'
b'91413629',b'highway',b'traffic_signals',b'regular'
b'91413690',b'highway',b'turning_circle',b'regular'
b'91416052',b'highway',b'turning_circle',b'regular'
b'91418372',b'highway',b'turning_circle',b'regular'
b'91422377',b'highway',b'traffic_signals',b'regular'
b'91422557',b'highway',b'turning_circle',b'regular'
b'91422819',b'highway',b'turning_circle',b'regular'
b'91425048',b'highway',b'turning_circle',b'regular'
b'91429004',b'highway',b'traffic_signals',b'regular'
b'91429045',b'highway',b'traffic_signals',b'regular'
b'91429060',b'highway',b'stop',b'regular'
b'91434431',b'highway',b'traffic_signals',b'regular'
b'91441130',b'highway',b'turning_circle',b'regular'
b'91441137',b'highway',b'turning_circle',b'regular'
b'91441287',b'highway',b'turning_circle',b'regular'
b'91445473',b'barrier',b'gate',b'regular'
b'91448622',b'highway',b'turning_circle',b'regular'
b'91448742',b'highway',b'traffic_signals',b'regular'
b'91451401',b'highway',b'traffic_signals',b'regular'
b'91451839',b'highway',b'turning_circle',b'regular'
b'91451871',b'highway',b'turning_circle',b'regular'
b'91454960',b'highway',b'turning_circle',b'regular'
b'91458949',b'highway',b'turning_circle',b'regular'
b'91458949',b'reviewed',b'yes',b'tiger'
b'91462761',b'highway',b'turning_circle',b'regular'
b'91463880',b'highway',b'turning_circle',b'regular'
b'91464286',b'highway',b'turning_circle',b'regular'
b'91464471',b'highway',b'turning_circle',b'regular'
b'91468037',b'highway',b'turning_circle',b'regular'
b'91468851',b'highway',b'turning_circle',b'regular'
b'91471790',b'highway',b'stop',b'regular'
b'91472769',b'highway',b'turning_circle',b'regular'
b'91477096',b'highway',b'turning_circle',b'regular'
b'91479038',b'highway',b'stop',b'regular'
b'91492240',b'highway',b'turning_circle',b'regular'
b'91492371',b'highway',b'turning_circle',b'regular'
b'91492419',b'highway',b'traffic_signals',b'regular'
b'91492421',b'highway',b'traffic_signals',b'regular'
b'91493970',b'highway',b'turning_circle',b'regular'
b'91494622',b'highway',b'traffic_signals',b'regular'
b'91494624',b'highway',b'traffic_signals',b'regular'
b'91495431',b'highway',b'traffic_signals',b'regular'
b'91497040',b'highway',b'turning_circle',b'regular'
b'91498801',b'highway',b'turning_circle',b'regular'
b'91498893',b'highway',b'turning_circle',b'regular'
b'91506982',b'highway',b'turning_circle',b'regular'
b'91507846',b'highway',b'turning_circle',b'regular'
b'91508081',b'highway',b'stop',b'regular'
b'91508991',b'highway',b'turning_circle',b'regular'
b'91510389',b'highway',b'turning_circle',b'regular'
b'91511925',b'highway',b'stop',b'regular'
b'91511942',b'highway',b'turning_circle',b'regular'
b'91513493',b'highway',b'turning_circle',b'regular'
b'91513885',b'highway',b'turning_circle',b'regular'
b'91515466',b'highway',b'traffic_signals',b'regular'
b'91515470',b'highway',b'traffic_signals',b'regular'
b'91515471',b'railway',b'level_crossing',b'regular'
b'91515474',b'highway',b'stop',b'regular'
b'91518853',b'highway',b'turning_circle',b'regular'
b'91522168',b'highway',b'turning_circle',b'regular'
b'91522238',b'highway',b'traffic_signals',b'regular'
b'91522239',b'highway',b'traffic_signals',b'regular'
b'91525142',b'highway',b'turning_circle',b'regular'
b'91526210',b'highway',b'turning_circle',b'regular'
b'91527553',b'highway',b'turning_circle',b'regular'
b'91527582',b'highway',b'turning_circle',b'regular'
b'91529767',b'highway',b'traffic_signals',b'regular'
b'91529884',b'highway',b'stop',b'regular'
b'91532629',b'highway',b'turning_circle',b'regular'
b'91532690',b'highway',b'turning_circle',b'regular'
b'91535467',b'highway',b'turning_circle',b'regular'
b'91535474',b'highway',b'turning_circle',b'regular'
b'91535616',b'highway',b'turning_circle',b'regular'
b'91539390',b'highway',b'turning_circle',b'regular'
b'91540913',b'highway',b'turning_circle',b'regular'
b'91540917',b'highway',b'turning_circle',b'regular'
b'91540921',b'highway',b'turning_circle',b'regular'
b'91541051',b'highway',b'traffic_signals',b'regular'
b'91541853',b'highway',b'turning_circle',b'regular'
b'91551829',b'highway',b'turning_circle',b'regular'
b'91552923',b'highway',b'turning_circle',b'regular'
b'91557054',b'highway',b'turning_circle',b'regular'
b'91560313',b'highway',b'turning_circle',b'regular'
b'91560316',b'highway',b'turning_circle',b'regular'
b'91560597',b'highway',b'traffic_signals',b'regular'
b'91566148',b'highway',b'stop',b'regular'
b'91566148',b'reviewed',b'yes',b'tiger'
b'91566263',b'highway',b'turning_circle',b'regular'
b'91567598',b'barrier',b'gate',b'regular'
b'91570299',b'highway',b'turning_circle',b'regular'
b'91574448',b'highway',b'traffic_signals',b'regular'
b'91583777',b'highway',b'turning_circle',b'regular'
b'91584736',b'highway',b'turning_circle',b'regular'
b'91585210',b'highway',b'turning_circle',b'regular'
b'91585231',b'highway',b'turning_circle',b'regular'
b'91585756',b'highway',b'turning_circle',b'regular'
b'91585821',b'highway',b'turning_circle',b'regular'
b'91590608',b'highway',b'turning_circle',b'regular'
b'91590649',b'highway',b'turning_circle',b'regular'
b'91593654',b'highway',b'turning_circle',b'regular'
b'91595425',b'highway',b'turning_circle',b'regular'
b'91595525',b'highway',b'turning_circle',b'regular'
b'91599926',b'highway',b'turning_circle',b'regular'
b'91601736',b'highway',b'turning_circle',b'regular'
b'91602731',b'highway',b'turning_circle',b'regular'
b'91602752',b'highway',b'turning_circle',b'regular'
b'91602754',b'highway',b'turning_circle',b'regular'
b'91608086',b'highway',b'turning_circle',b'regular'
b'91611847',b'highway',b'turning_circle',b'regular'
b'91611875',b'highway',b'turning_circle',b'regular'
b'91612839',b'highway',b'turning_circle',b'regular'
b'91615266',b'highway',b'turning_circle',b'regular'
b'91617959',b'highway',b'turning_circle',b'regular'
b'91618601',b'barrier',b'cattle_grid',b'regular'
b'91618609',b'highway',b'traffic_signals',b'regular'
b'91618624',b'barrier',b'bollard',b'regular'
b'91618718',b'highway',b'stop',b'regular'
b'91629092',b'highway',b'turning_circle',b'regular'
b'91629109',b'highway',b'turning_circle',b'regular'
b'91629109',b'reviewed',b'yes',b'tiger'
b'91630305',b'highway',b'turning_circle',b'regular'
b'91630362',b'highway',b'turning_circle',b'regular'
b'91632951',b'highway',b'turning_circle',b'regular'
b'91636538',b'highway',b'stop',b'regular'
b'91636550',b'highway',b'turning_circle',b'regular'
b'91637976',b'highway',b'turning_circle',b'regular'
b'91639901',b'highway',b'stop',b'regular'
b'91639904',b'highway',b'turning_circle',b'regular'
b'91640428',b'highway',b'turning_circle',b'regular'
b'91640491',b'highway',b'turning_circle',b'regular'
b'91641822',b'highway',b'turning_circle',b'regular'
b'91641833',b'highway',b'turning_circle',b'regular'
b'91642323',b'highway',b'turning_circle',b'regular'
b'91642536',b'highway',b'turning_circle',b'regular'
b'91645297',b'highway',b'turning_circle',b'regular'
b'91653783',b'highway',b'stop',b'regular'
b'91654255',b'highway',b'turning_circle',b'regular'
b'91654320',b'highway',b'turning_circle',b'regular'
b'91654610',b'highway',b'turning_circle',b'regular'
b'91655396',b'highway',b'turning_circle',b'regular'
b'91655539',b'highway',b'turning_circle',b'regular'
b'91657117',b'highway',b'turning_circle',b'regular'
b'91657242',b'highway',b'turning_circle',b'regular'
b'91657806',b'highway',b'turning_circle',b'regular'
b'91657839',b'highway',b'turning_circle',b'regular'
b'91662869',b'highway',b'turning_circle',b'regular'
b'91662919',b'power',b'tower',b'regular'
b'91662923',b'power',b'tower',b'regular'
b'91662925',b'power',b'tower',b'regular'
b'91662929',b'power',b'tower',b'regular'
b'91662936',b'power',b'tower',b'regular'
b'91662946',b'power',b'tower',b'regular'
b'91662984',b'power',b'tower',b'regular'
b'91662988',b'power',b'tower',b'regular'
b'91662990',b'power',b'tower',b'regular'
b'91662993',b'power',b'tower',b'regular'
b'91662996',b'power',b'tower',b'regular'
b'91662998',b'power',b'tower',b'regular'
b'91663000',b'power',b'tower',b'regular'
b'91663002',b'power',b'tower',b'regular'
b'91663035',b'power',b'tower',b'regular'
b'91663053',b'power',b'tower',b'regular'
b'91663061',b'power',b'tower',b'regular'
b'91663065',b'power',b'tower',b'regular'
b'91663077',b'power',b'tower',b'regular'
b'91663079',b'power',b'tower',b'regular'
b'91663128',b'power',b'tower',b'regular'
b'91663130',b'power',b'tower',b'regular'
b'91663132',b'power',b'tower',b'regular'
b'91663133',b'power',b'tower',b'regular'
b'91663135',b'power',b'tower',b'regular'
b'91663137',b'power',b'tower',b'regular'
b'91675812',b'highway',b'turning_circle',b'regular'
b'91680184',b'highway',b'turning_circle',b'regular'
b'91680184',b'reviewed',b'yes',b'tiger'
b'91691968',b'highway',b'turning_circle',b'regular'
b'91699146',b'highway',b'turning_circle',b'regular'
b'91703322',b'highway',b'turning_circle',b'regular'
b'91703775',b'highway',b'turning_circle',b'regular'
b'91705954',b'highway',b'turning_circle',b'regular'
b'91708008',b'barrier',b'gate',b'regular'
b'91711805',b'railway',b'level_crossing',b'regular'
b'91711810',b'railway',b'level_crossing',b'regular'
b'91718771',b'highway',b'give_way',b'regular'
b'91719946',b'highway',b'turning_circle',b'regular'
b'91720246',b'power',b'tower',b'regular'
b'91720247',b'power',b'tower',b'regular'
b'91720265',b'highway',b'turning_circle',b'regular'
b'91720265',b'reviewed',b'yes',b'tiger'
b'91720302',b'highway',b'turning_circle',b'regular'
b'91720302',b'reviewed',b'yes',b'tiger'
b'91720432',b'highway',b'turning_circle',b'regular'
b'91720627',b'highway',b'turning_circle',b'regular'
b'91729033',b'highway',b'turning_circle',b'regular'
b'91729223',b'highway',b'turning_circle',b'regular'
b'91730408',b'highway',b'turning_circle',b'regular'
b'91731170',b'highway',b'turning_circle',b'regular'
b'91733563',b'highway',b'turning_circle',b'regular'
b'91735220',b'highway',b'turning_circle',b'regular'
b'91735238',b'highway',b'stop',b'regular'
b'91741422',b'highway',b'turning_circle',b'regular'
b'91741426',b'highway',b'turning_circle',b'regular'
b'91741940',b'highway',b'turning_circle',b'regular'
b'91756997',b'highway',b'stop',b'regular'
b'91767019',b'highway',b'turning_circle',b'regular'
b'91771178',b'highway',b'turning_circle',b'regular'
b'91771178',b'reviewed',b'yes',b'tiger'
b'91774412',b'highway',b'turning_circle',b'regular'
b'91776452',b'highway',b'turning_circle',b'regular'
b'91776482',b'highway',b'turning_circle',b'regular'
b'150947906',b'ele',b'71',b'regular'
b'150947906',b'name',b'San Luis Obispo',b'regular'
b'150947906',b'place',b'city',b'regular'
b'150947906',b'id',b'1652788',b'gnis'
b'150947906',b'wikidata',b'Q49012',b'regular'
b'150947906',b'gnis:Class',b'Populated Place',b'regular'
b'150947906',b'population',b'47339',b'regular'
b'150947906',b'gnis:County',b'San Luis Obispo',b'regular'
b'150947906',b'gnis:ST_num',b'06',b'regular'
b'150947906',b'import_uuid',b'bb7269ee-502a-5391-8056-e3ce0e66489c',b'regular'
b'150947906',b'gnis:ST_alpha',b'CA',b'regular'
b'150947906',b'gnis:County_num',b'079',b'regular'
b'150947906',b'population',b'2010',b'census'
b'347954794',b'emergency',b'phone',b'regular'
b'347959701',b'emergency',b'phone',b'regular'
b'358780789',b'ele',b'455',b'regular'
b'358780789',b'name',b'Bishop Peak',b'regular'
b'358780789',b'natural',b'peak',b'regular'
b'358780789',b'created',b'01/19/1981',b'gnis'
b'358780789',b'state_id',b'06',b'gnis'
b'358780789',b'county_id',b'079',b'gnis'
b'358780789',b'feature_id',b'239356',b'gnis'
b'358782102',b'ele',b'73',b'regular'
b'358782102',b'name',b'Christian Day School',b'regular'
b'358782102',b'amenity',b'school',b'regular'
b'358782102',b'created',b'01/19/1981',b'gnis'
b'358782102',b'state_id',b'06',b'gnis'
b'358782102',b'county_id',b'079',b'gnis'
b'358782102',b'feature_id',b'240594',b'gnis'
b'358783335',b'ele',b'48',b'regular'
b'358783335',b'name',b'East Santa Fe School',b'regular'
b'358783335',b'amenity',b'school',b'regular'
b'358783335',b'created',b'01/19/1981',b'gnis'
b'358783335',b'state_id',b'06',b'gnis'
b'358783335',b'county_id',b'079',b'gnis'
b'358783335',b'feature_id',b'241785',b'gnis'
b'358786608',b'ele',b'108',b'regular'
b'358786608',b'name',b'Jespersen School',b'regular'
b'358786608',b'phone',b'(805) 593-3134',b'regular'
b'358786608',b'amenity',b'school',b'regular'
b'358786608',b'website',b'http://www.slocoe.org/student/special_ed.htm',b'regular'
b'358786608',b'operator',b'San Luis Obispo County Office of Education',b'regular'
b'358786608',b'created',b'01/19/1981',b'gnis'
b'358786608',b'state_id',b'06',b'gnis'
b'358786608',b'county_id',b'079',b'gnis'
b'358786608',b'feature_id',b'244054',b'gnis'
b'358790207',b'ele',b'111',b'regular'
b'358790207',b'name',b'San Luis Obispo Classical Academy',b'regular'
b'358790207',b'phone',b'(805) 548-8700',b'regular'
b'358790207',b'amenity',b'school',b'regular'
b'358790207',b'website',b'http://sloclassicalacademy.com/',b'regular'
b'358790207',b'operator',b'San Luis Obispo Classical Academy',b'regular'
b'358790207',b'created',b'06/14/2000',b'gnis'
b'358790207',b'state_id',b'06',b'gnis'
b'358790207',b'county_id',b'079',b'gnis'
b'358790207',b'feature_id',b'247063',b'gnis'
b'358793313',b'ele',b'152',b'regular'
b'358793313',b'name',b'Terrace Hill',b'regular'
b'358793313',b'natural',b'peak',b'regular'
b'358793313',b'created',b'01/19/1981',b'gnis'
b'358793313',b'state_id',b'06',b'gnis'
b'358793313',b'county_id',b'079',b'gnis'
b'358793313',b'feature_id',b'250352',b'gnis'
b'358796404',b'ele',b'363',b'regular'
b'358796404',b'name',b'Cerro Romauldo',b'regular'
b'358796404',b'natural',b'peak',b'regular'
b'358796404',b'created',b'01/19/1981',b'gnis'
b'358796404',b'state_id',b'06',b'gnis'
b'358796404',b'county_id',b'079',b'gnis'
b'358796404',b'feature_id',b'255462',b'gnis'
b'358796406',b'ele',b'387',b'regular'
b'358796406',b'name',b'Cerro San Luis Obispo',b'regular'
b'358796406',b'natural',b'peak',b'regular'
b'358796406',b'created',b'01/19/1981',b'gnis'
b'358796406',b'state_id',b'06',b'gnis'
b'358796406',b'county_id',b'079',b'gnis'
b'358796406',b'feature_id',b'255463',b'gnis'
b'358796412',b'ele',b'241',b'regular'
b'358796412',b'name',b'Chumash Peak',b'regular'
b'358796412',b'natural',b'peak',b'regular'
b'358796412',b'created',b'01/19/1981',b'gnis'
b'358796412',b'state_id',b'06',b'gnis'
b'358796412',b'county_id',b'079',b'gnis'
b'358796412',b'feature_id',b'255474',b'gnis'
b'358808171',b'ele',b'230',b'regular'
b'358808171',b'name',b'Islay Hill',b'regular'
b'358808171',b'natural',b'peak',b'regular'
b'358808171',b'created',b'01/19/1981',b'gnis'
b'358808171',b'state_id',b'06',b'gnis'
b'358808171',b'county_id',b'079',b'gnis'
b'358808171',b'feature_id',b'1660806',b'gnis'
b'358810128',b'ele',b'110',b'regular'
b'358810128',b'name',b'KVEC-AM (San Luis Obispo)',b'regular'
b'358810128',b'man_made',b'tower',b'regular'
b'358810128',b'created',b'07/01/1994',b'gnis'
b'358810128',b'state_id',b'06',b'gnis'
b'358810128',b'county_id',b'079',b'gnis'
b'358810128',b'feature_id',b'1662731',b'gnis'
b'358810130',b'ele',b'110',b'regular'
b'358810130',b'name',b'KJDJ-AM (San Luis Obispo)',b'regular'
b'358810130',b'man_made',b'tower',b'regular'
b'358810130',b'created',b'07/01/1994',b'gnis'
b'358810130',b'state_id',b'06',b'gnis'
b'358810130',b'county_id',b'079',b'gnis'
b'358810130',b'feature_id',b'1662732',b'gnis'
b'358810133',b'ele',b'37',b'regular'
b'358810133',b'name',b'KATY-AM (San Luis Obispo)',b'regular'
b'358810133',b'man_made',b'tower',b'regular'
b'358810133',b'created',b'07/01/1994',b'gnis'
b'358810133',b'state_id',b'06',b'gnis'
b'358810133',b'county_id',b'079',b'gnis'
b'358810133',b'feature_id',b'1662733',b'gnis'
b'358810135',b'ele',b'123',b'regular'
b'358810135',b'name',b'KKCB-AM (San Luis Obispo)',b'regular'
b'358810135',b'man_made',b'tower',b'regular'
b'358810135',b'created',b'07/01/1994',b'gnis'
b'358810135',b'state_id',b'06',b'gnis'
b'358810135',b'county_id',b'079',b'gnis'
b'358810135',b'feature_id',b'1662734',b'gnis'
b'358810843',b'ele',b'104',b'regular'
b'358810843',b'name',b'KCPR-FM (San Luis Obispo)',b'regular'
b'358810843',b'man_made',b'tower',b'regular'
b'358810843',b'created',b'07/01/1994',b'gnis'
b'358810843',b'state_id',b'06',b'gnis'
b'358810843',b'county_id',b'079',b'gnis'
b'358810843',b'feature_id',b'1663066',b'gnis'
b'358817260',b'ele',b'47',b'regular'
b'358817260',b'name',b'Stowe School (historical)',b'regular'
b'358817260',b'amenity',b'school',b'regular'
b'358817260',b'created',b'11/13/1995',b'gnis'
b'358817260',b'state_id',b'06',b'gnis'
b'358817260',b'county_id',b'079',b'gnis'
b'358817260',b'feature_id',b'1670574',b'gnis'
b'358848883',b'ele',b'87',b'regular'
b'358848883',b'name',b'Saint Andrew the apostle Greek Orthodox Christian Church',b'regular'
b'358848883',b'amenity',b'place_of_worship',b'regular'
b'358848883',b'religion',b'christian',b'regular'
b'358848883',b'denomination',b'greek_orthodox',b'regular'
b'358848883',b'created',b'06/13/2000',b'gnis'
b'358848883',b'state_id',b'06',b'gnis'
b'358848883',b'county_id',b'079',b'gnis'
b'358848883',b'feature_id',b'1872415',b'gnis'
b'358848887',b'ele',b'78',b'regular'
b'358848887',b'name',b'Family Christian Center',b'regular'
b'358848887',b'amenity',b'place_of_worship',b'regular'
b'358848887',b'religion',b'christian',b'regular'
b'358848887',b'created',b'06/13/2000',b'gnis'
b'358848887',b'state_id',b'06',b'gnis'
b'358848887',b'county_id',b'079',b'gnis'
b'358848887',b'feature_id',b'1872418',b'gnis'
b'358848890',b'ele',b'83',b'regular'
b'358848890',b'name',b'Foothill Baptist Church',b'regular'
b'358848890',b'amenity',b'place_of_worship',b'regular'
b'358848890',b'religion',b'christian',b'regular'
b'358848890',b'denomination',b'baptist',b'regular'
b'358848890',b'created',b'06/13/2000',b'gnis'
b'358848890',b'state_id',b'06',b'gnis'
b'358848890',b'county_id',b'079',b'gnis'
b'358848890',b'feature_id',b'1872420',b'gnis'
b'358848891',b'ele',b'89',b'regular'
b'358848891',b'name',b'French Hospital',b'regular'
b'358848891',b'amenity',b'hospital',b'regular'
b'358848891',b'emergency',b'yes',b'regular'
b'358848891',b'created',b'06/13/2000',b'gnis'
b'358848891',b'state_id',b'06',b'gnis'
b'358848891',b'county_id',b'079',b'gnis'
b'358848891',b'feature_id',b'1872421',b'gnis'
b'358848909',b'ele',b'87',b'regular'
b'358848909',b'name',b'Saint Anne Catholic Church of the Byzantine Rite',b'regular'
